A_x,B_x,C_x,D_x,E_x,F_x,G_x,H_x,I_x,J_x,K_x,L_x,M_x,N_x,Y1_x,Y2_x
1.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.0,1.0,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0306,0.0,1.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0002,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0174,0.0,0.0049,0.0178,0.0556,1.0,0.001,0.0003,0.0111,0.0,0.0035,0.0591,0.0095,0.0009,0.0009
0.0001,0.0,0.0014,0.0002,0.4037,0.0,0.0055,1.0,0.0,0.1938,0.0,0.0041,0.018,0.005,0.0,0.0008
0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002,0.0,0.0,0.0,0.0004,0.0007,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.9948,0.0,0.0,0.0,0.0
0.0552,0.0,0.0,0.0003,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0001,0.0,0.0,0.0,0.0008,0.0,0.0001,0.0002,0.0,0.0123,0.0,0.0,0.0001,1.0,0.0016,0.0
0.0006,0.0401,0.0,0.0008,0.0014,0.0111,0.0019,0.0003,0.0001,0.0778,0.0,0.0084,0.089,0.0011,1.0,0.0001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
